,Ask,Bid,Expiry,Last,Open_Int,Quote_Time,Root,Strike,Symbol,Type,Underlying_Price,Update_Date,Update_Time,Vol,_id,iteration,Alert Level,Fifty Percent,Buy Price,Sell Price,Return Percent,Profit
6,1.1,0.8,2017-11-17,1.0,14.0,2017-10-06T10:10:05.000Z,ACAD,33.0,ACAD171117P00033000,p,37.15,20171006,20:17:02,4.0,ACAD_20171117_20171006_7_p_33.0,7.0,-0.03002610966057438,True,1.1,3.6,2.2727272727272725,-256.0
0,1.15,0.8,2017-11-17,0.5,22.0,2017-09-25T10:10:12.000Z,ACC,45.0,ACC171117P00045000,p,45.9,20170925,20:21:05,11.0,ACC_20171117_20170925_7_p_45.0,7.0,-0.030008453085376197,True,1.15,1.7,0.47826086956521746,-61.00000000000001
1,1.25,0.85,2017-12-15,0.95,356.0,2017-10-25T10:10:06.000Z,ACET,10.0,ACET171215P00010000,p,10.6,20171025,20:21:38,1.0,ACET_20171215_20171025_7_p_10.0,7.0,-0.03460837887067402,True,1.25,1.0,-0.2,19.0
0,1.05,0.9,2017-04-21,0.85,106.0,2017-03-24T10:16:04.000Z,ACHC,40.0,ACHC170421P00040000,p,40.97,20170324,20:23:27,60.0,ACHC_20170421_20170324_7_p_40.0,7.0,0.03538033864038409,True,1.05,0.15,-0.8571428571428571,84.0
2,1.15,0.85,2017-05-19,1.8,16.0,2017-03-27T10:16:03.000Z,ACHC,40.0,ACHC170519P00040000,p,44.51,20170327,20:24:14,15.0,ACHC_20170519_20170327_7_p_40.0,7.0,0.06153112330073929,True,1.15,0.05,-0.9565217391304347,103.99999999999999
4,1.3,1.1,2017-09-15,0.75,615.0,2017-07-26T10:11:22.000Z,ACHC,45.0,ACHC170915P00045000,p,49.05,20170726,20:24:44,1.0,ACHC_20170915_20170726_7_p_45.0,7.0,-0.043673230649249405,True,1.3,0.05,-0.9615384615384615,119.0
2,1.15,0.85,2017-09-15,2.0,482.0,2017-07-28T10:11:22.000Z,ACHC,50.0,ACHC170915P00050000,p,54.05,20170728,20:24:45,284.0,ACHC_20170915_20170728_7_p_50.0,7.0,0.09790777980905953,False,1.15,1.1,-0.043478260869565064,-1.0000000000000178
2,1.3,1.0,2017-04-21,1.23,2506.0,2017-03-23T10:16:03.000Z,ACIA,50.0,ACIA170421P00050000,p,56.47,20170323,20:27:37,188.0,ACIA_20170421_20170323_7_p_50.0,7.0,-0.04125636672325976,True,1.3,0.05,-0.9615384615384615,119.0
2,0.95,0.8,2017-09-15,0.7,29.0,2017-08-09T10:11:22.000Z,ACHN,5.0,ACHN170915P00005000,p,5.09,20170809,20:26:40,13.0,ACHN_20170915_20170809_7_p_5.0,7.0,0.2693266832917706,True,0.95,1.35,0.4210526315789475,-46.000000000000014
1,1.3,1.05,2017-08-18,1.15,361.0,2017-07-07T10:11:14.000Z,ACIA,35.0,ACIA170818P00035000,p,41.81,20170707,20:28:18,3.0,ACIA_20170818_20170707_7_p_35.0,7.0,0.0303104977821588,True,1.3,0.05,-0.9615384615384615,119.0
2,1.05,0.8,2017-08-18,1.0,650.0,2017-07-19T10:11:14.000Z,ACIA,35.0,ACIA170818P00035000,p,42.43,20170719,20:28:20,7.0,ACIA_20170818_20170719_7_p_35.0,7.0,0.0711941428932088,True,1.05,0.05,-0.9523809523809523,94.0
3,1.3,0.95,2017-11-17,1.17,1340.0,2017-09-25T10:10:12.000Z,ACIA,35.0,ACIA171117P00035000,p,44.78,20170925,20:31:55,3.0,ACIA_20171117_20170925_7_p_35.0,7.0,-0.043366801965392034,True,1.3,0.7,-0.46153846153846156,54.00000000000001
0,1.3,1.05,2017-11-17,0.9,2.0,2017-09-20T10:10:11.000Z,ACLS,22.5,ACLS171117P00022500,p,23.98,20170920,20:33:04,2.0,ACLS_20171117_20170920_7_p_22.5,7.0,-0.036947791164658565,True,1.3,0.05,-0.9615384615384615,119.0
2,1.3,1.05,2017-05-19,1.19,904.0,2017-03-23T10:16:04.000Z,ACN,115.0,ACN170519P00115000,p,122.14,20170323,20:40:24,145.0,ACN_20170519_20170323_7_p_115.0,7.0,-0.0343137254901961,True,1.3,0.0,-1.0,124.0
0,1.05,0.85,2017-09-15,0.55,259.0,2017-07-24T10:11:24.000Z,ACM,30.0,ACM170915P00030000,p,31.02,20170724,20:34:43,1.0,ACM_20170915_20170724_7_p_30.0,7.0,-0.03123048094940673,True,1.05,0.05,-0.9523809523809523,94.0
5,1.2,0.85,2017-08-18,1.0,79.0,2017-06-22T10:11:14.000Z,ACN,100.0,ACN170818P00100000,p,119.95,20170622,20:35:39,1.0,ACN_20170818_20170622_7_p_100.0,7.0,-0.05632916371646603,True,1.2,0.05,-0.9583333333333333,108.99999999999999
14,1.0,0.8,2017-04-21,0.9,9676.0,2017-03-21T10:16:03.000Z,ACOR,20.0,ACOR170421P00020000,p,26.15,20170321,20:44:17,60.0,ACOR_20170421_20170321_7_p_20.0,7.0,-0.031481481481481534,True,1.0,3.6,2.6,-266.0
