,Ask,Bid,Expiry,Last,Open_Int,Quote_Time,Root,Strike,Symbol,Type,Underlying_Price,Update_Date,Update_Time,Vol,_id,iteration,Alert Level,Fifty Percent,Buy Price,Sell Price,Return Percent,Profit
4,1.3,1.0,2017-11-17,1.05,581.0,2017-10-27T10:10:06.000Z,AAN,40.0,AAN171117P00040000,p,40.17,20171027,17:04:06,6.0,AAN_20171117_20171027_7_p_40.0,7.0,-0.04900568181818182,False,1.3,4.2,2.230769230769231,-296.00000000000006
33,1.2,0.95,2017-11-17,1.34,15.0,2017-10-27T10:10:06.000Z,ABBV,89.5,ABBV171117P00089500,p,92.49,20171027,19:09:17,4.0,ABBV_20171117_20171027_7_p_89.5,7.0,0.0327154979901741,True,1.2,0.09,-0.9249999999999999,104.99999999999999
44,0.94,0.91,2017-11-24,0.94,7710.0,2017-10-10T10:10:04.000Z,AAL,45.0,AAL171124P00045000,p,53.09,20171010,16:51:30,60.0,AAL_20171124_20171010_7_p_45.0,7.0,0.04920948616600794,True,0.94,0.84,-0.10638297872340424,3.9999999999999982
0,1.2,0.95,2017-11-17,1.15,111.0,2017-09-27T10:10:11.000Z,ABEO,12.5,ABEO171117P00012500,p,14.7,20170927,19:25:30,25.0,ABEO_20171117_20170927_7_p_12.5,7.0,0.03886925795052996,True,1.2,0.05,-0.9583333333333333,108.99999999999999
30,0.89,0.87,2017-11-17,0.82,2336.0,2017-09-28T10:10:10.000Z,ABT,50.0,ABT171117P00050000,p,54.27,20170928,19:39:15,13.0,ABT_20171117_20170928_7_p_50.0,7.0,0.04065196548418034,True,0.89,0.01,-0.9887640449438202,82.0
0,1.0,0.99,2017-04-21,0.99,5744.0,2017-03-02T10:16:03.000Z,ABX,18.0,ABX170421P00018000,p,18.12,20170302,19:42:22,710.0,ABX_20170421_20170302_7_p_18.0,7.0,-0.041776837652035916,True,1.0,0.13,-0.87,81.0
45,1.3,0.8,2017-08-25,1.0,12.0,2017-07-19T10:11:14.000Z,AAOI,50.0,AAOI170825P00050000,p,92.95,20170719,17:07:51,10.0,AAOI_20170825_20170719_7_p_50.0,7.0,0.030716345087602525,True,1.3,0.05,-0.9615384615384615,119.0
2,0.84,0.83,2017-06-16,0.82,6137.0,2017-04-25T10:16:06.000Z,ABX,17.0,ABX170616P00017000,p,17.13,20170425,20:04:25,2060.0,ABX_20170616_20170425_7_p_17.0,7.0,-0.10031512605042019,True,0.84,1.43,0.7023809523809523,-65.0
51,1.25,0.95,2017-09-15,1.1,2408.0,2017-08-04T10:11:22.000Z,AAOI,55.0,AAOI170915P00055000,p,72.91,20170804,17:30:00,107.0,AAOI_20170915_20170804_7_p_55.0,7.0,-0.25594448413103377,True,1.25,0.1,-0.9199999999999999,108.99999999999999
0,1.05,0.9,2017-04-21,0.85,106.0,2017-03-24T10:16:04.000Z,ACHC,40.0,ACHC170421P00040000,p,40.97,20170324,20:23:27,60.0,ACHC_20170421_20170324_7_p_40.0,7.0,0.03538033864038409,True,1.05,0.15,-0.8571428571428571,84.0
0,1.15,0.8,2017-11-17,0.5,22.0,2017-09-25T10:10:12.000Z,ACC,45.0,ACC171117P00045000,p,45.9,20170925,20:21:05,11.0,ACC_20171117_20170925_7_p_45.0,7.0,-0.030008453085376197,True,1.15,1.7,0.47826086956521746,-61.00000000000001
6,1.25,0.95,2017-07-21,0.0,16.0,2017-06-09T10:11:19.000Z,ACAD,25.0,ACAD170721P00025000,p,27.0,20170609,20:14:43,0.0,ACAD_20170721_20170609_7_p_25.0,7.0,0.03289977046671765,True,1.25,0.1,-0.9199999999999999,108.99999999999999
2,1.15,0.85,2017-05-19,1.8,16.0,2017-03-27T10:16:03.000Z,ACHC,40.0,ACHC170519P00040000,p,44.51,20170327,20:24:14,15.0,ACHC_20170519_20170327_7_p_40.0,7.0,0.06153112330073929,True,1.15,0.05,-0.9565217391304347,103.99999999999999
0,1.25,0.8,2017-09-15,1.0,1855.0,2017-08-14T10:11:22.000Z,AAOI,55.0,AAOI170915P00055000,p,68.07,20170814,17:30:09,19.0,AAOI_20170915_20170814_7_p_55.0,7.0,0.033869987849331554,True,1.25,0.1,-0.9199999999999999,108.99999999999999
1,1.25,0.85,2017-12-15,0.95,356.0,2017-10-25T10:10:06.000Z,ACET,10.0,ACET171215P00010000,p,10.6,20171025,20:21:38,1.0,ACET_20171215_20171025_7_p_10.0,7.0,-0.03460837887067402,True,1.25,1.0,-0.2,19.0
2,1.3,1.0,2017-04-21,1.23,2506.0,2017-03-23T10:16:03.000Z,ACIA,50.0,ACIA170421P00050000,p,56.47,20170323,20:27:37,188.0,ACIA_20170421_20170323_7_p_50.0,7.0,-0.04125636672325976,True,1.3,0.05,-0.9615384615384615,119.0
2,1.3,1.05,2017-05-19,1.19,904.0,2017-03-23T10:16:04.000Z,ACN,115.0,ACN170519P00115000,p,122.14,20170323,20:40:24,145.0,ACN_20170519_20170323_7_p_115.0,7.0,-0.0343137254901961,True,1.3,0.0,-1.0,124.0
0,1.3,1.05,2017-11-17,0.9,2.0,2017-09-20T10:10:11.000Z,ACLS,22.5,ACLS171117P00022500,p,23.98,20170920,20:33:04,2.0,ACLS_20171117_20170920_7_p_22.5,7.0,-0.036947791164658565,True,1.3,0.05,-0.9615384615384615,119.0
14,1.0,0.8,2017-04-21,0.9,9676.0,2017-03-21T10:16:03.000Z,ACOR,20.0,ACOR170421P00020000,p,26.15,20170321,20:44:17,60.0,ACOR_20170421_20170321_7_p_20.0,7.0,-0.031481481481481534,True,1.0,3.6,2.6,-266.0
4,1.3,1.1,2017-09-15,0.75,615.0,2017-07-26T10:11:22.000Z,ACHC,45.0,ACHC170915P00045000,p,49.05,20170726,20:24:44,1.0,ACHC_20170915_20170726_7_p_45.0,7.0,-0.043673230649249405,True,1.3,0.05,-0.9615384615384615,119.0
6,1.1,0.8,2017-11-17,1.0,14.0,2017-10-06T10:10:05.000Z,ACAD,33.0,ACAD171117P00033000,p,37.15,20171006,20:17:02,4.0,ACAD_20171117_20171006_7_p_33.0,7.0,-0.03002610966057438,True,1.1,3.6,2.2727272727272725,-256.0
2,0.95,0.8,2017-09-15,0.7,29.0,2017-08-09T10:11:22.000Z,ACHN,5.0,ACHN170915P00005000,p,5.09,20170809,20:26:40,13.0,ACHN_20170915_20170809_7_p_5.0,7.0,0.2693266832917706,True,0.95,1.35,0.4210526315789475,-46.000000000000014
0,1.05,0.85,2017-09-15,0.55,259.0,2017-07-24T10:11:24.000Z,ACM,30.0,ACM170915P00030000,p,31.02,20170724,20:34:43,1.0,ACM_20170915_20170724_7_p_30.0,7.0,-0.03123048094940673,True,1.05,0.05,-0.9523809523809523,94.0
2,1.15,0.85,2017-09-15,2.0,482.0,2017-07-28T10:11:22.000Z,ACHC,50.0,ACHC170915P00050000,p,54.05,20170728,20:24:45,284.0,ACHC_20170915_20170728_7_p_50.0,7.0,0.09790777980905953,False,1.15,1.1,-0.043478260869565064,-1.0000000000000178
5,1.2,0.85,2017-08-18,1.0,79.0,2017-06-22T10:11:14.000Z,ACN,100.0,ACN170818P00100000,p,119.95,20170622,20:35:39,1.0,ACN_20170818_20170622_7_p_100.0,7.0,-0.05632916371646603,True,1.2,0.05,-0.9583333333333333,108.99999999999999
